section,name,old_mae,peak_only_mae,peak_trend_mae,old_decline_mae,peak_only_decline_mae,peak_trend_decline_mae,recommended
overall,5min,3.6,3.4,3.5,5.8,4.8,5.2,peak_drop
overall,30min,10.8,11.0,10.9,11.1,12.0,11.4,peak_trend_drop
overall,60min,15.6,16.3,16.0,13.2,15.5,14.3,peak_trend_drop
상록회관,5min,2.6,,2.5,3.4,,3.2,peak_drop_l1.00_b0.0
상록회관,30min,6.5,,6.5,7.2,,7.1,peak_trend_drop_l1.50_b0.1
상록회관,60min,9.3,,9.3,9.8,,9.9,peak_trend_drop_l1.50_b0.2
생활과학대,5min,0.3,,0.2,2.5,,2.4,peak_drop_l0.50_b0.0
생활과학대,30min,2.4,,2.4,5.2,,5.0,peak_drop_l1.25_b0.0
생활과학대,60min,4.4,,4.4,5.7,,5.6,peak_trend_drop_l1.25_b0.2
제1학생회관,5min,7.7,,7.2,9.0,,7.3,peak_drop_l1.25_b0.0
제1학생회관,30min,21.5,,21.8,19.5,,20.6,peak_trend_drop_l1.25_b0.2
제1학생회관,60min,32.1,,33.1,24.7,,27.7,peak_trend_drop_l1.25_b0.2
제2학생회관,5min,5.9,,5.6,6.7,,5.5,peak_drop_l1.25_b0.0
제2학생회관,30min,12.8,,12.9,11.1,,11.4,peak_trend_drop_l1.25_b0.2
제2학생회관,60min,16.9,,17.4,13.0,,14.0,peak_trend_drop_l1.25_b0.2
제3학생회관,5min,2.5,,2.4,3.7,,3.1,peak_drop_l1.25_b0.0
제3학생회관,30min,5.6,,5.7,5.7,,6.0,peak_trend_drop_l1.50_b0.2
제3학생회관,60min,7.8,,8.0,7.4,,7.8,peak_trend_drop_l1.50_b0.2
학생생활관,5min,2.2,,2.1,5.8,,5.5,peak_drop_l1.00_b0.2
학생생활관,30min,18.4,,18.5,13.6,,14.2,peak_trend_drop_l1.25_b0.2
학생생활관,60min,27.5,,27.7,8.1,,9.2,peak_trend_drop_l1.50_b0.0
