section,name,old_mae,new_mae,old_within10,new_within10,old_decline_mae,new_decline_mae,selected_rule
overall,5min,3.6,3.6,90.7,90.5,5.9,5.8,trend10
overall,30min,11.1,10.8,72.8,73.3,11.4,11.1,peak_aware
overall,60min,16.1,15.6,65.6,66.1,14.5,13.2,peak_aware
상록회관,5min,2.5,2.6,96.3,96.0,3.4,3.4,trend10
상록회관,30min,6.8,6.5,80.3,81.7,7.7,7.2,peak_r1.0_0.0_f0.9_0.0
상록회관,60min,9.6,9.3,71.9,72.5,10.4,9.8,peak_r1.0_0.0_f0.8_0.0
생활과학대,5min,0.2,0.3,99.8,99.7,2.5,2.5,trend10
생활과학대,30min,2.4,2.4,92.4,92.4,5.2,5.2,peak_r1.0_0.0_f1.0_0.1
생활과학대,60min,3.9,4.4,85.4,84.8,6.0,5.7,peak_r1.0_0.0_f0.9_0.0
제1학생회관,5min,7.9,7.7,77.8,77.5,9.3,9.0,trend10
제1학생회관,30min,22.5,21.5,49.9,50.6,19.2,19.5,peak_r1.0_0.4_f0.9_0.0
제1학생회관,60min,34.1,32.1,40.4,42.0,29.3,24.7,peak_r1.0_0.4_f0.8_0.0
제2학생회관,5min,5.9,5.9,82.2,81.6,6.8,6.7,trend10
제2학생회관,30min,13.1,12.8,60.0,60.2,11.0,11.1,peak_r1.0_0.3_f0.9_0.0
제2학생회관,60min,17.3,16.9,55.2,55.8,12.8,13.0,peak_r1.0_0.0_f0.8_0.0
제3학생회관,5min,2.6,2.5,95.1,95.1,3.7,3.7,trend10
제3학생회관,30min,6.1,5.6,84.3,85.5,7.3,5.7,peak_r1.0_0.2_f0.8_0.2
제3학생회관,60min,8.3,7.8,78.1,78.7,8.8,7.4,peak_r1.0_0.0_f0.7_0.3
학생생활관,5min,2.3,2.2,94.5,94.6,6.1,5.8,trend10
학생생활관,30min,18.3,18.4,68.0,67.6,13.4,13.6,peak_r0.9_0.3_f0.6_0.2
학생생활관,60min,27.5,27.5,61.4,61.3,8.0,8.1,peak_r0.5_0.4_f0.4_0.2
