section,name,all_year_mae,season_aware_mae,all_year_decline_mae,season_aware_decline_mae
overall,baseline_30min,31.1,25.8,34.6,29.5
overall,baseline_60min,31.9,26.4,31.9,26.8
overall,peak_rule_30min,10.8,10.6,11.1,11.5
overall,peak_rule_60min,15.6,15.1,13.2,14.0
상록회관,baseline_30min,13.1,14.5,13.3,16.3
상록회관,baseline_60min,13.6,14.9,12.6,16.7
상록회관,peak_rule_30min,6.5,6.7,7.2,7.8
상록회관,peak_rule_60min,9.3,9.5,9.8,11.0
생활과학대,baseline_30min,20.1,11.1,7.4,7.4
생활과학대,baseline_60min,20.7,11.4,6.9,6.9
생활과학대,peak_rule_30min,2.4,1.9,5.2,4.9
생활과학대,peak_rule_60min,4.4,3.2,5.7,5.4
제1학생회관,baseline_30min,77.7,56.4,88.0,63.6
제1학생회관,baseline_60min,80.7,58.5,86.4,62.5
제1학생회관,peak_rule_30min,21.5,20.2,19.5,20.1
제1학생회관,peak_rule_60min,32.1,28.5,24.7,25.5
제2학생회관,baseline_30min,31.6,23.2,28.9,21.4
제2학생회관,baseline_60min,31.6,23.1,26.7,19.5
제2학생회관,peak_rule_30min,12.8,12.3,11.1,11.7
제2학생회관,peak_rule_60min,16.9,15.7,13.0,13.9
제3학생회관,baseline_30min,10.4,17.6,10.0,17.7
제3학생회관,baseline_60min,10.7,18.2,8.3,14.8
제3학생회관,peak_rule_30min,5.6,7.1,5.7,6.1
제3학생회관,peak_rule_60min,7.8,10.5,7.4,8.2
학생생활관,baseline_30min,35.2,35.2,34.3,34.3
학생생활관,baseline_60min,35.6,35.6,16.7,16.7
학생생활관,peak_rule_30min,18.4,18.4,13.6,13.6
학생생활관,peak_rule_60min,27.5,27.5,8.1,8.1
